Day,Start,End,Event,Room,GM,GM2,# of People,Description
1.Wednesday,9:00 AM,,Board Game Breakfast with Tom Vasel,Caribbean V-VII,Tom Vasel,,250,Tom will have a show running for people that don't want to wait in line.
1.Wednesday,10:00 AM,,OPEN GAMING,ANTUGUA 2-4,,,,
1.Wednesday,10:00 AM,,CONVENTION OPENS,EVERYWHERE,,,,
1.Wednesday,10:00 AM,,LIBRARY,HIBISCUS ROOM,,,,
1.Wednesday,10:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,
1.Wednesday,11:00 AM,1:00 PM,Abyss Demo,Bonaire 6,Michael Huckins,,4,
1.Wednesday,12:00 PM,1:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,12:00 PM,2:00 PM,Smash Up Demo,Bonaire 3,Jim Price,,8,
1.Wednesday,12:00 PM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV,Molly,,,
1.Wednesday,12:00 PM,12:30 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,12:00 PM,12:30 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,12:30 PM,1:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,12:45 PM,1:15 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,12:45 PM,1:15 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
1.Wednesday,1:00 PM,2:00 PM,Designer Panel,Caribbean V-VII,Geoff Engelstein,,,Q&A with Game Designers
1.Wednesday,1:00 PM,2:00 PM,King Of Tokyo Daily Qualifier,Caribbean Ballroom I-IV,IELLO,,24,"For King of Tokyo, it will be 4 per table(6 tables total) for a ""qualifier"", then those 6 winners will play at a final table for a prize.  Every participant gets 2 promo cards.  The daily 5 pm Champion gets a king bundle with King of Tokyo, King of New York, all expanasions and monsters."
1.Wednesday,1:00 PM,3:00 PM,Beyond the Edge,Boca III-IV,Ken Shannon,,4-16,"4 Games Possible, Let Designer Ken Shannon teach you his newest game Beyond the Edge"
1.Wednesday,1:00 PM,5:00 PM,Arkwright Demo,Bonaire 6,Michael Huckins,,4,
1.Wednesday,1:00 PM,5:00 PM,Dice Tower 500 (21 Drivers),Bonaire 7,Richard Launius,,21,Play with Designer Richard Launius in the Dice Tower 500 Nascar Race
1.Wednesday,1:00 PM,,Rising Sun,Bonaire 8,Wilbert Kies,,5,
1.Wednesday,1:30 PM,2:30 PM,Decrypto Team Tournament,Caribbean Ballroom I-IV,IELLO,,16,"For Decrypto(2 tables) it will be limited to 4 teams, max 4 each team.  Each Decrytpo winning TEAM will get a game."
1.Wednesday,1:30 PM,2:00 PM,Escape Experience - Brain Battle!,Boca V,,,6,Two teams go head to head on either side of a dual sided stand-alone mystery box. Players can open the first of four doors on their side to encounter their first challenge. Solve the puzzles to get keys to open successive doors as you attempt to reach the final reward. Whoever makes it all the way through first wins!
1.Wednesday,1:30 PM,2:00 PM,Escape Experience - Spy Trap,Boca VI,,,6,"Players work together as one secret agent team to decipher a series of connected mechanical and digital puzzles in an attempt to escape the trap set by a notorious spy. Deactivate the system within 30 minutes or… well, let’s just say it’s kinda crucial…"
