Day,Start,End,Event,Room,GM,GM2,Event Type,# of People,Description
1.Wednesday,9:00 AM,,Board Game Breakfast with Tom Vasel,Caribbean Ballroom V-VII,Tom Vasel,,,250,Tom will have a show running for people that don't want to wait in line.
1.Wednesday,10:00 AM,5:00 PM,Playtesting Lab,Boca III-IV,Matt Holden,,,,"Join Indie Game Alliance and play some games before they are produced, and help make them better"
1.Wednesday,10:00 AM,1:00 PM,Zombicide Black Plague in the Dungeon,Bonaire 5,Wilbert Kies,,Event,8,Can you plunder the gold and escape before being overcome by the zombie horde?  Open to all experience levels. Will teach people new to the game.
1.Wednesday,10:00 AM,11:59 PM,OPEN GAMING,ANTIGUA 2-4,,,,,
1.Wednesday,10:00 AM,,CONVENTION OPENS,EVERYWHERE,,,,,
1.Wednesday,10:00 AM,,LIBRARY,HIBISCUS ROOM,,,,,
1.Wednesday,10:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,,
1.Wednesday,12:00 PM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV, ,,,,
1.Wednesday,12:00 PM,5:00 PM,Silver,Caribbean I-IV,Bezier Games,,Demo,4,Come try this new game by Bezier
1.Wednesday,12:00 PM,5:00 PM,new Teotihuacan expansion,Caribbean Ballroom I-IV,Meeple Source,,Demo,,"Teotihuacan: Late Preclassic Period, available to demo all day, Also: Sierra West, same times. People can choose between getting a quick preview, or to actually sit down and play a short demo.  "
1.Wednesday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
1.Wednesday,12:00 PM,2:00 PM,Celestia Tournament,Caribbean I-IV,Quick Simple Fun,,Tournament,16,Come win the new Expansion to Celestia
1.Wednesday,12:00 PM,5:00 PM,Muse Awakenings Demo,Caribbean I-IV,Quick Simple Fun,,Demo,16,Come and try this fun game from Quick Simple Fun Games
1.Wednesday,12:00 PM,5:00 PM,For the Love of Cats,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
1.Wednesday,12:00 PM,5:00 PM,Freight Cars,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
1.Wednesday,12:00 PM,5:00 PM,"Demos of Imperial Settlers, Monolith Arena, Tides of Time/Tides of Madness, and Alien Artifacts",Bonaire 1,Portal Games,,Demo,,Demos all con long
